barrio,habs,ascensor,price,city
abando-albia,0,TRUE,1400,bilbao
abando-albia,1,FALSE,810,bilbao
abando-albia,1,TRUE,1240,bilbao
abando-albia,2,FALSE,1250,bilbao
abando-albia,2,TRUE,1696.2,bilbao
abando-albia,3,FALSE,3000,bilbao
abando-albia,3,TRUE,2152.2,bilbao
abando-albia,Más de 3,TRUE,2556.8,bilbao
agra-del-orzan-ventorrillo,0,FALSE,670,a-coruna
agra-del-orzan-ventorrillo,0,TRUE,750,a-coruna
agra-del-orzan-ventorrillo,2,FALSE,675,a-coruna
agra-del-orzan-ventorrillo,2,TRUE,838.3,a-coruna
agra-del-orzan-ventorrillo,3,FALSE,787.5,a-coruna
agra-del-orzan-ventorrillo,3,TRUE,897.8,a-coruna
agra-del-orzan-ventorrillo,Más de 3,FALSE,1275,a-coruna
agra-del-orzan-ventorrillo,Más de 3,TRUE,984,a-coruna
aiete,1,TRUE,1250,donostia-san-sebastian
aiete,2,FALSE,1283.3,donostia-san-sebastian
aiete,2,TRUE,1500,donostia-san-sebastian
aiete,3,FALSE,1400,donostia-san-sebastian
aiete,3,TRUE,1775,donostia-san-sebastian
aiete,Más de 3,TRUE,1500,donostia-san-sebastian
algiros,0,FALSE,1073,valencia
algiros,0,TRUE,1030,valencia
algiros,1,FALSE,1200,valencia
algiros,1,TRUE,1298.2,valencia
algiros,2,TRUE,1407.1,valencia
algiros,3,TRUE,1377.5,valencia
algiros,Más de 3,FALSE,1600,valencia
algiros,Más de 3,TRUE,1626.7,valencia
altza-bidebieta,2,FALSE,1300,donostia-san-sebastian
altza-bidebieta,2,TRUE,1650,donostia-san-sebastian
altza-bidebieta,3,FALSE,1200,donostia-san-sebastian
altza-bidebieta,3,TRUE,1500,donostia-san-sebastian
altza-bidebieta,Más de 3,FALSE,3200,donostia-san-sebastian
altza-bidebieta,Más de 3,TRUE,2600,donostia-san-sebastian
amara,1,TRUE,1080,donostia-san-sebastian
amara,2,TRUE,1511.2,donostia-san-sebastian
amara,3,TRUE,1720.8,donostia-san-sebastian
anorga,3,FALSE,2800,donostia-san-sebastian
antiguo,1,TRUE,1200,donostia-san-sebastian
antiguo,2,FALSE,1780,donostia-san-sebastian
antiguo,2,TRUE,1846.9,donostia-san-sebastian
antiguo,3,FALSE,1300,donostia-san-sebastian
antiguo,3,TRUE,2186,donostia-san-sebastian
antiguo,Más de 3,TRUE,2533.3,donostia-san-sebastian
arganzuela,0,FALSE,1283.3,madrid
arganzuela,0,TRUE,1243.2,madrid
arganzuela,1,FALSE,1255.9,madrid
arganzuela,1,TRUE,1387,madrid
arganzuela,2,FALSE,1376.1,madrid
arganzuela,2,TRUE,1661.5,madrid
arganzuela,3,FALSE,1525,madrid
arganzuela,3,TRUE,1981.5,madrid
arganzuela,Más de 3,TRUE,3990,madrid
ategorrieta-ulia,0,FALSE,950,donostia-san-sebastian
ategorrieta-ulia,2,FALSE,1600,donostia-san-sebastian
ategorrieta-ulia,Más de 3,FALSE,2900,donostia-san-sebastian
bailen-miraflores,0,FALSE,1400,malaga
bailen-miraflores,0,TRUE,760,malaga
bailen-miraflores,1,FALSE,726.7,malaga
bailen-miraflores,1,TRUE,960.3,malaga
bailen-miraflores,2,FALSE,997.1,malaga
bailen-miraflores,2,TRUE,1037.6,malaga
bailen-miraflores,3,FALSE,1073,malaga
bailen-miraflores,3,TRUE,1207.7,malaga
bailen-miraflores,Más de 3,FALSE,1800,malaga
bailen-miraflores,Más de 3,TRUE,1100,malaga
barajas,0,TRUE,850,madrid
barajas,1,FALSE,1250,madrid
barajas,1,TRUE,1118.9,madrid
barajas,2,FALSE,942.5,madrid
barajas,2,TRUE,1438.1,madrid
barajas,3,FALSE,1500,madrid
barajas,3,TRUE,1902.1,madrid
barajas,Más de 3,FALSE,3218.8,madrid
barajas,Más de 3,TRUE,1883.3,madrid
barrio-de-salamanca,0,FALSE,1072.5,madrid
barrio-de-salamanca,0,TRUE,1347.3,madrid
barrio-de-salamanca,1,FALSE,1882.3,madrid
barrio-de-salamanca,1,TRUE,1988.4,madrid
barrio-de-salamanca,2,FALSE,2018.3,madrid
barrio-de-salamanca,2,TRUE,3035.3,madrid
barrio-de-salamanca,3,FALSE,4031.7,madrid
barrio-de-salamanca,3,TRUE,4409,madrid
barrio-de-salamanca,Más de 3,FALSE,6142.5,madrid
barrio-de-salamanca,Más de 3,TRUE,5046.1,madrid
basurto-zorroza,0,TRUE,990,bilbao
basurto-zorroza,1,TRUE,1010,bilbao
basurto-zorroza,2,TRUE,1300,bilbao
basurto-zorroza,3,FALSE,1700,bilbao
basurto-zorroza,3,TRUE,1397.5,bilbao
basurto-zorroza,Más de 3,TRUE,1683.3,bilbao
begona-santutxu,0,TRUE,800,bilbao
begona-santutxu,3,TRUE,1371.6,bilbao
begona-santutxu,Más de 3,TRUE,2000,bilbao
bellavista-jardines-de-hercules,0,FALSE,650,sevilla
bellavista-jardines-de-hercules,1,FALSE,750,sevilla
bellavista-jardines-de-hercules,2,FALSE,870,sevilla
bellavista-jardines-de-hercules,2,TRUE,700,sevilla
bellavista-jardines-de-hercules,3,FALSE,760,sevilla
bellavista-jardines-de-hercules,3,TRUE,877.1,sevilla
benicalap,0,FALSE,840,valencia
benicalap,0,TRUE,892,valencia
benicalap,1,FALSE,750,valencia
benicalap,1,TRUE,1012.8,valencia
benicalap,2,FALSE,850,valencia
benicalap,2,TRUE,1127.2,valencia
benicalap,3,FALSE,1093.5,valencia
benicalap,3,TRUE,1220.8,valencia
benicalap,Más de 3,TRUE,1100,valencia
benimaclet,0,FALSE,1107.5,valencia
benimaclet,0,TRUE,789,valencia
benimaclet,1,TRUE,1100,valencia
benimaclet,2,TRUE,1075,valencia
benimaclet,3,FALSE,1100,valencia
benimaclet,3,TRUE,1359.6,valencia
benimaclet,Más de 3,FALSE,1700,valencia
benimaclet,Más de 3,TRUE,1448.9,valencia
camins-al-grau,0,FALSE,800,valencia
camins-al-grau,0,TRUE,946,valencia
camins-al-grau,1,FALSE,966.7,valencia
camins-al-grau,1,TRUE,1336.1,valencia
camins-al-grau,2,FALSE,1338.9,valencia
camins-al-grau,2,TRUE,1432.5,valencia
camins-al-grau,3,FALSE,1284,valencia
camins-al-grau,3,TRUE,1864.4,valencia
camins-al-grau,Más de 3,FALSE,1250,valencia
camins-al-grau,Más de 3,TRUE,2066.7,valencia
campanar,1,FALSE,1100,valencia
campanar,1,TRUE,1175,valencia
campanar,2,FALSE,1291.7,valencia
campanar,2,TRUE,1563.3,valencia
campanar,3,FALSE,1483.3,valencia
campanar,3,TRUE,1767.9,valencia
campanar,Más de 3,TRUE,1442.1,valencia
campanillas,0,FALSE,500,malaga
campanillas,1,FALSE,820,malaga
campanillas,1,TRUE,766.7,malaga
campanillas,2,FALSE,891.7,malaga
campanillas,2,TRUE,1280,malaga
campanillas,3,FALSE,1276,malaga
campanillas,Más de 3,FALSE,1450,malaga
carabanchel,0,FALSE,1012,madrid
carabanchel,0,TRUE,972.5,madrid
carabanchel,1,FALSE,1257,madrid
carabanchel,1,TRUE,1019.2,madrid
carabanchel,2,FALSE,1081.1,madrid
carabanchel,2,TRUE,1267.8,madrid
carabanchel,3,FALSE,1078.9,madrid
carabanchel,3,TRUE,1349.8,madrid
carabanchel,Más de 3,FALSE,3750,madrid
carabanchel,Más de 3,TRUE,1756.2,madrid
carretera-de-cadiz,0,FALSE,618,malaga
carretera-de-cadiz,0,TRUE,1022.5,malaga
carretera-de-cadiz,1,FALSE,903,malaga
carretera-de-cadiz,1,TRUE,1642.2,malaga
carretera-de-cadiz,2,FALSE,1075,malaga
carretera-de-cadiz,2,TRUE,1423.4,malaga
carretera-de-cadiz,3,FALSE,1475,malaga
carretera-de-cadiz,3,TRUE,2153.9,malaga
carretera-de-cadiz,Más de 3,TRUE,2171.5,malaga
casco-viejo,1,FALSE,1345,bilbao
casco-viejo,1,TRUE,1462.5,bilbao
casco-viejo,2,FALSE,1500,bilbao
casco-viejo,2,TRUE,1556.2,bilbao
casco-viejo,3,FALSE,1450,bilbao
casco-viejo,3,TRUE,1512.5,bilbao
casco-viejo,Más de 3,TRUE,3050,bilbao
centro,0,FALSE,1154.8,madrid
centro,0,FALSE,1154.8,malaga
centro,0,FALSE,1154.8,sevilla
centro,0,TRUE,1230.7,madrid
centro,0,TRUE,1230.7,malaga
centro,0,TRUE,1230.7,sevilla
centro,1,FALSE,1306.8,madrid
centro,1,FALSE,1306.8,malaga
centro,1,FALSE,1306.8,sevilla
centro,1,TRUE,1611.2,madrid
centro,1,TRUE,1611.2,malaga
centro,1,TRUE,1611.2,sevilla
centro,2,FALSE,1652.1,madrid
centro,2,FALSE,1652.1,malaga
centro,2,FALSE,1652.1,sevilla
centro,2,TRUE,2376.3,madrid
centro,2,TRUE,2376.3,malaga
centro,2,TRUE,2376.3,sevilla
centro,3,FALSE,1879.4,madrid
centro,3,FALSE,1879.4,malaga
centro,3,FALSE,1879.4,sevilla
centro,3,TRUE,2594.7,madrid
centro,3,TRUE,2594.7,malaga
centro,3,TRUE,2594.7,sevilla
centro,Más de 3,FALSE,2538.2,madrid
centro,Más de 3,FALSE,2538.2,malaga
centro,Más de 3,FALSE,2538.2,sevilla
centro,Más de 3,TRUE,2892.4,madrid
centro,Más de 3,TRUE,2892.4,malaga
centro,Más de 3,TRUE,2892.4,sevilla
centro-miraconcha,0,TRUE,4450,donostia-san-sebastian
centro-miraconcha,1,FALSE,3250,donostia-san-sebastian
centro-miraconcha,1,TRUE,1581.4,donostia-san-sebastian
centro-miraconcha,2,FALSE,1720.8,donostia-san-sebastian
centro-miraconcha,2,TRUE,2397.7,donostia-san-sebastian
centro-miraconcha,3,FALSE,3910,donostia-san-sebastian
centro-miraconcha,3,TRUE,3004.5,donostia-san-sebastian
centro-miraconcha,Más de 3,TRUE,3630,donostia-san-sebastian
cerro-amate,0,FALSE,575,sevilla
cerro-amate,1,FALSE,555,sevilla
cerro-amate,1,TRUE,850,sevilla
cerro-amate,2,FALSE,705.7,sevilla
cerro-amate,2,TRUE,889.1,sevilla
cerro-amate,3,FALSE,838.2,sevilla
cerro-amate,3,TRUE,825,sevilla
cerro-amate,Más de 3,FALSE,1133.3,sevilla
cerro-amate,Más de 3,TRUE,1000,sevilla
chamartin,0,FALSE,1213.1,madrid
chamartin,0,TRUE,1315.4,madrid
chamartin,1,FALSE,1679,madrid
chamartin,1,TRUE,1724.8,madrid
chamartin,2,FALSE,2084.5,madrid
chamartin,2,TRUE,2190.3,madrid
chamartin,3,FALSE,1547.5,madrid
chamartin,3,TRUE,2888.7,madrid
chamartin,Más de 3,FALSE,6325,madrid
chamartin,Más de 3,TRUE,4171.5,madrid
chamberi,0,FALSE,1257.1,madrid
chamberi,0,TRUE,1351.2,madrid
chamberi,1,FALSE,1569,madrid
chamberi,1,TRUE,1901.2,madrid
chamberi,2,FALSE,2093.6,madrid
chamberi,2,TRUE,2578.5,madrid
chamberi,3,FALSE,1922.5,madrid
chamberi,3,TRUE,3555.8,madrid
chamberi,Más de 3,FALSE,4050,madrid
chamberi,Más de 3,TRUE,4378.5,madrid
churriana,0,TRUE,800,malaga
churriana,1,FALSE,1100,malaga
churriana,1,TRUE,1500,malaga
churriana,2,FALSE,1540,malaga
churriana,2,TRUE,1233.3,malaga
churriana,3,FALSE,1630,malaga
churriana,3,TRUE,1408,malaga
churriana,Más de 3,FALSE,2633.3,malaga
ciudad-jardin,0,FALSE,550,malaga
ciudad-jardin,1,FALSE,500,malaga
ciudad-jardin,2,FALSE,733.3,malaga
ciudad-jardin,2,TRUE,998.3,malaga
ciudad-jardin,3,FALSE,960,malaga
ciudad-jardin,3,TRUE,1177.5,malaga
ciudad-jardin,Más de 3,FALSE,1547.5,malaga
ciudad-jardin,Más de 3,TRUE,1200,malaga
ciudad-lineal,0,FALSE,1034.7,madrid
ciudad-lineal,0,TRUE,1478.2,madrid
ciudad-lineal,1,FALSE,1405.3,madrid
ciudad-lineal,1,TRUE,1417.4,madrid
ciudad-lineal,2,FALSE,1350.7,madrid
ciudad-lineal,2,TRUE,1448.9,madrid
ciudad-lineal,3,FALSE,1770,madrid
ciudad-lineal,3,TRUE,1700.3,madrid
ciudad-lineal,Más de 3,FALSE,3720,madrid
ciudad-lineal,Más de 3,TRUE,2842.6,madrid
ciudad-vieja-centro,0,FALSE,700,a-coruna
ciudad-vieja-centro,1,FALSE,875.7,a-coruna
ciudad-vieja-centro,1,TRUE,835.8,a-coruna
ciudad-vieja-centro,2,FALSE,910,a-coruna
ciudad-vieja-centro,2,TRUE,1209.4,a-coruna
ciudad-vieja-centro,3,FALSE,1100,a-coruna
ciudad-vieja-centro,3,TRUE,1453.8,a-coruna
ciudad-vieja-centro,Más de 3,FALSE,1250,a-coruna
ciudad-vieja-centro,Más de 3,TRUE,2412.5,a-coruna
ciutat-antigua,0,FALSE,990,palma-de-mallorca
ciutat-antigua,0,TRUE,1500,palma-de-mallorca
ciutat-antigua,1,FALSE,1558.5,palma-de-mallorca
ciutat-antigua,1,TRUE,1655,palma-de-mallorca
ciutat-antigua,2,FALSE,2176.7,palma-de-mallorca
ciutat-antigua,2,TRUE,2171,palma-de-mallorca
ciutat-antigua,3,FALSE,2678.6,palma-de-mallorca
ciutat-antigua,3,TRUE,2721.7,palma-de-mallorca
ciutat-antigua,Más de 3,FALSE,3540,palma-de-mallorca
ciutat-antigua,Más de 3,TRUE,2991.2,palma-de-mallorca
ciutat-vella,0,FALSE,1413.3,barcelona
ciutat-vella,0,FALSE,1413.3,valencia
ciutat-vella,0,TRUE,1425.9,barcelona
ciutat-vella,0,TRUE,1425.9,valencia
ciutat-vella,1,FALSE,1514.6,barcelona
ciutat-vella,1,FALSE,1514.6,valencia
ciutat-vella,1,TRUE,1887.7,barcelona
ciutat-vella,1,TRUE,1887.7,valencia
ciutat-vella,2,FALSE,1830.3,barcelona
ciutat-vella,2,FALSE,1830.3,valencia
ciutat-vella,2,TRUE,2312.7,barcelona
ciutat-vella,2,TRUE,2312.7,valencia
ciutat-vella,3,FALSE,1934.3,barcelona
ciutat-vella,3,FALSE,1934.3,valencia
ciutat-vella,3,TRUE,2626.6,barcelona
ciutat-vella,3,TRUE,2626.6,valencia
ciutat-vella,Más de 3,FALSE,2950.5,barcelona
ciutat-vella,Más de 3,FALSE,2950.5,valencia
ciutat-vella,Más de 3,TRUE,2941.1,barcelona
ciutat-vella,Más de 3,TRUE,2941.1,valencia
cruz-de-humilladero,0,FALSE,931.2,malaga
cruz-de-humilladero,0,TRUE,1000,malaga
cruz-de-humilladero,1,TRUE,982.7,malaga
cruz-de-humilladero,2,FALSE,1010,malaga
cruz-de-humilladero,2,TRUE,1184.9,malaga
cruz-de-humilladero,3,FALSE,1322.7,malaga
cruz-de-humilladero,3,TRUE,1341.6,malaga
cruz-de-humilladero,Más de 3,FALSE,1333.3,malaga
cruz-de-humilladero,Más de 3,TRUE,1510,malaga
cuatro-caminos-plaza-de-la-cubela,0,TRUE,525,a-coruna
cuatro-caminos-plaza-de-la-cubela,1,FALSE,900,a-coruna
cuatro-caminos-plaza-de-la-cubela,1,TRUE,715,a-coruna
cuatro-caminos-plaza-de-la-cubela,2,TRUE,1109,a-coruna
cuatro-caminos-plaza-de-la-cubela,3,TRUE,956.2,a-coruna
cuatro-caminos-plaza-de-la-cubela,Más de 3,FALSE,1195,a-coruna
cuatro-caminos-plaza-de-la-cubela,Más de 3,TRUE,1318.6,a-coruna
deusto,0,FALSE,800,bilbao
deusto,0,TRUE,875,bilbao
deusto,1,FALSE,1280,bilbao
deusto,1,TRUE,1040,bilbao
deusto,2,FALSE,1375,bilbao
deusto,2,TRUE,1108.3,bilbao
deusto,3,TRUE,1478.6,bilbao
deusto,Más de 3,FALSE,1600,bilbao
deusto,Más de 3,TRUE,1928.6,bilbao
egia,1,FALSE,750,donostia-san-sebastian
egia,2,FALSE,1300,donostia-san-sebastian
egia,2,TRUE,1547.5,donostia-san-sebastian
egia,3,TRUE,1697.5,donostia-san-sebastian
egia,Más de 3,TRUE,1900,donostia-san-sebastian
eiris,1,TRUE,743.3,a-coruna
eiris,2,FALSE,770,a-coruna
eiris,2,TRUE,823,a-coruna
eiris,3,TRUE,809,a-coruna
eixample,0,FALSE,1829,barcelona
eixample,0,TRUE,1970.5,barcelona
eixample,1,FALSE,2104.9,barcelona
eixample,1,TRUE,2470.2,barcelona
eixample,2,FALSE,2715.8,barcelona
eixample,2,TRUE,2943.5,barcelona
eixample,3,FALSE,3048.6,barcelona
eixample,3,TRUE,3020.8,barcelona
eixample,Más de 3,FALSE,3893.8,barcelona
eixample,Más de 3,TRUE,4199,barcelona
el-pla-del-real,0,TRUE,1100,valencia
el-pla-del-real,1,TRUE,1206.2,valencia
el-pla-del-real,2,FALSE,1600,valencia
el-pla-del-real,2,TRUE,1368.1,valencia
el-pla-del-real,3,TRUE,2390.1,valencia
el-pla-del-real,Más de 3,TRUE,2175,valencia
elvina-a-zapateira,2,TRUE,690,a-coruna
ensanche-juan-florez,0,FALSE,745,a-coruna
ensanche-juan-florez,1,FALSE,1190,a-coruna
ensanche-juan-florez,1,TRUE,854.2,a-coruna
ensanche-juan-florez,2,FALSE,877.5,a-coruna
ensanche-juan-florez,2,TRUE,1045.2,a-coruna
ensanche-juan-florez,3,FALSE,1092.5,a-coruna
ensanche-juan-florez,3,TRUE,1329.4,a-coruna
ensanche-juan-florez,Más de 3,FALSE,1400,a-coruna
ensanche-juan-florez,Más de 3,TRUE,1448,a-coruna
es-forti-son-cotoner-son-dameto,1,TRUE,1266.7,palma-de-mallorca
es-forti-son-cotoner-son-dameto,2,FALSE,2020,palma-de-mallorca
es-forti-son-cotoner-son-dameto,2,TRUE,1730,palma-de-mallorca
es-forti-son-cotoner-son-dameto,3,FALSE,1750,palma-de-mallorca
es-forti-son-cotoner-son-dameto,3,TRUE,1887.1,palma-de-mallorca
es-forti-son-cotoner-son-dameto,Más de 3,FALSE,2500,palma-de-mallorca
es-forti-son-cotoner-son-dameto,Más de 3,TRUE,1985,palma-de-mallorca
establiments-son-sardina,1,FALSE,1000,palma-de-mallorca
establiments-son-sardina,3,FALSE,2900,palma-de-mallorca
establiments-son-sardina,Más de 3,FALSE,6250,palma-de-mallorca
este,0,FALSE,1062.5,malaga
este,0,TRUE,886,malaga
este,1,FALSE,1109,malaga
este,1,TRUE,1237.1,malaga
este,2,FALSE,1605.8,malaga
este,2,TRUE,1696.9,malaga
este,3,FALSE,2179.2,malaga
este,3,TRUE,1984,malaga
este,Más de 3,FALSE,3499.5,malaga
este,Más de 3,TRUE,2560.7,malaga
extramurs,0,FALSE,1100,valencia
extramurs,0,TRUE,1145,valencia
extramurs,1,FALSE,1291.5,valencia
extramurs,1,TRUE,1404.8,valencia
extramurs,2,FALSE,1499.9,valencia
extramurs,2,TRUE,1557.6,valencia
extramurs,3,FALSE,1900,valencia
extramurs,3,TRUE,1781.5,valencia
extramurs,Más de 3,TRUE,1923.3,valencia
fuencarral,0,FALSE,961,madrid
fuencarral,0,TRUE,1869,madrid
fuencarral,1,FALSE,1000,madrid
fuencarral,1,TRUE,1318.4,madrid
fuencarral,2,FALSE,1264.3,madrid
fuencarral,2,TRUE,1544.9,madrid
fuencarral,3,FALSE,1858.3,madrid
fuencarral,3,TRUE,1875.3,madrid
fuencarral,Más de 3,FALSE,4505.7,madrid
fuencarral,Más de 3,TRUE,2798.1,madrid
genova-bonanova-sant-agusti,0,FALSE,1203.3,palma-de-mallorca
genova-bonanova-sant-agusti,0,TRUE,1038.9,palma-de-mallorca
genova-bonanova-sant-agusti,1,FALSE,1275,palma-de-mallorca
genova-bonanova-sant-agusti,1,TRUE,1413.6,palma-de-mallorca
genova-bonanova-sant-agusti,2,FALSE,2653.3,palma-de-mallorca
genova-bonanova-sant-agusti,2,TRUE,2044.4,palma-de-mallorca
genova-bonanova-sant-agusti,3,FALSE,3422.2,palma-de-mallorca
genova-bonanova-sant-agusti,3,TRUE,2658.3,palma-de-mallorca
genova-bonanova-sant-agusti,Más de 3,FALSE,3666.7,palma-de-mallorca
genova-bonanova-sant-agusti,Más de 3,TRUE,3050,palma-de-mallorca
gracia,0,FALSE,1735.5,barcelona
gracia,0,TRUE,1538.9,barcelona
gracia,1,FALSE,1566.9,barcelona
gracia,1,TRUE,2074.3,barcelona
gracia,2,FALSE,2662.8,barcelona
gracia,2,TRUE,2636.2,barcelona
gracia,3,FALSE,4206.1,barcelona
gracia,3,TRUE,3234.2,barcelona
gracia,Más de 3,FALSE,3011.7,barcelona
gracia,Más de 3,TRUE,2690.9,barcelona
gros,1,FALSE,1500,donostia-san-sebastian
gros,1,TRUE,1400,donostia-san-sebastian
gros,2,TRUE,1950,donostia-san-sebastian
gros,3,TRUE,2383.3,donostia-san-sebastian
gros,Más de 3,TRUE,3521.4,donostia-san-sebastian
horta-guinardo,0,FALSE,1239,barcelona
horta-guinardo,0,TRUE,1090,barcelona
horta-guinardo,1,FALSE,1558.3,barcelona
horta-guinardo,1,TRUE,1783.3,barcelona
horta-guinardo,2,FALSE,1820,barcelona
horta-guinardo,2,TRUE,1568.1,barcelona
horta-guinardo,3,FALSE,2397.5,barcelona
horta-guinardo,3,TRUE,1625.6,barcelona
horta-guinardo,Más de 3,FALSE,3138.3,barcelona
horta-guinardo,Más de 3,TRUE,2416.2,barcelona
hortaleza,0,FALSE,925,madrid
hortaleza,0,TRUE,1097.8,madrid
hortaleza,1,FALSE,1155,madrid
hortaleza,1,TRUE,1358.7,madrid
hortaleza,2,FALSE,2215,madrid
hortaleza,2,TRUE,1723.7,madrid
hortaleza,3,FALSE,1895,madrid
hortaleza,3,TRUE,2069.5,madrid
hortaleza,Más de 3,FALSE,5200,madrid
hortaleza,Más de 3,TRUE,2720,madrid
ibaeta,1,TRUE,1915,donostia-san-sebastian
ibaeta,2,FALSE,860,donostia-san-sebastian
ibaeta,2,TRUE,1400,donostia-san-sebastian
ibaeta,3,FALSE,1900,donostia-san-sebastian
ibaeta,3,TRUE,1450,donostia-san-sebastian
ibaeta,Más de 3,FALSE,3200,donostia-san-sebastian
ibaiondo,0,TRUE,750,bilbao
ibaiondo,1,FALSE,637.5,bilbao
ibaiondo,1,TRUE,2000,bilbao
ibaiondo,2,FALSE,1600,bilbao
ibaiondo,2,TRUE,1148.3,bilbao
ibaiondo,3,FALSE,1275,bilbao
ibaiondo,3,TRUE,1318.8,bilbao
ibaiondo,Más de 3,FALSE,1850,bilbao
ibaiondo,Más de 3,TRUE,1750,bilbao
igeldo,1,FALSE,1050,donostia-san-sebastian
igeldo,3,TRUE,1650,donostia-san-sebastian
igeldo,Más de 3,FALSE,6000,donostia-san-sebastian
indautxu,0,TRUE,1180,bilbao
indautxu,1,TRUE,1204.2,bilbao
indautxu,2,FALSE,1400,bilbao
indautxu,2,TRUE,1374.9,bilbao
indautxu,3,TRUE,1608.1,bilbao
indautxu,Más de 3,FALSE,2200,bilbao
indautxu,Más de 3,TRUE,2150,bilbao
intxaurrondo,1,TRUE,975,donostia-san-sebastian
intxaurrondo,2,FALSE,1600,donostia-san-sebastian
intxaurrondo,2,TRUE,1175,donostia-san-sebastian
intxaurrondo,3,FALSE,1350,donostia-san-sebastian
intxaurrondo,3,TRUE,2250,donostia-san-sebastian
jesus,0,TRUE,1200,valencia
jesus,1,FALSE,795,valencia
jesus,2,FALSE,900.8,valencia
jesus,2,TRUE,1046.2,valencia
jesus,3,FALSE,1191.2,valencia
jesus,3,TRUE,1308.9,valencia
jesus,Más de 3,FALSE,1073.3,valencia
jesus,Más de 3,TRUE,1691.2,valencia
l-eixample,0,FALSE,1800,valencia
l-eixample,0,TRUE,1264,valencia
l-eixample,1,FALSE,1403.8,valencia
l-eixample,1,TRUE,1537.2,valencia
l-eixample,2,FALSE,1726,valencia
